"id"
"000002.SZ"
"000333.SZ"
"000651.SZ"
"000858.SZ"
"0386.HK"
"0883.HK"
"1093.HK"
"1398.HK"
"2628.HK"
"300498.SZ"
"3436.T"
"4502.T"
"5301.T"
"6098.T"
"9984.T"
"AAPL"
"AMD"
"CMCSA"
"CNA.L"
"CSCO"
"FB"
"INTC"
"MNG.L"
"MSFT"
"MU"
"RDSA.L"
"SIRI"
"TSCO.L"
"VOD.L"
"ZNGA"
